Kommune;DepartmentID;OrgNo;Skole;Bydel
Oslo;40749;918399267;Vollebekk skole;Bjerke
Oslo;3292;974590379;Vålerenga skole;Gamle Oslo
Oslo;40591;913946065;Wang Ung Oslo AS;blandet
Oslo;3294;974590638;Øraker skole;Ullern
Oslo;3295;974590387;Østensjø skole;Østensjø
Oslo;5486;976207130;Østmarka skole;blandet
Oslo;3297;974590395;Årvoll skole;Bjerke
Oslo;;929177525;Voldsløkka skole;Nordre Aker
Oslo;;917526427;Holmen skole;Vestre Aker
Stavanger;3503;974611473;Auglend skole;Hillevåg
Stavanger;3504;974611244;Austbø skole;Hundvåg
Stavanger;42032;820332342;Biss Gausel;blandet
Stavanger;40761;918535705;Biss Sentrum AS;blandet
Stavanger;3506;974611414;Buøy skole;Hundvåg
Stavanger;3507;874611662;Byfjord skole;Tasta
Stavanger;3508;974611457;Eiganes skole;Eiganes/Våland
Stavanger;3318;975289249;Finnøy Sentralskule;Finnøy
Stavanger;3319;975275345;Fogn oppvekstsenter Avdeling skule;Finnøy
Stavanger;3510;974611805;Gausel skole;Hinna
Stavanger;3511;874735582;Gautesete skole;Hinna
Stavanger;3513;974611341;Godeset skole;Hinna
Stavanger;3514;974611686;Gosen skole;Madla
Stavanger;3515;974611570;Hafrsfjord skole;Madla
Stavanger;3517;974611600;Hinna skole;Hinna
Stavanger;3519;974611546;Hundvåg skole;Hundvåg
Stavanger;3520;974180693;International School Of Stavanger Avd Undervisning;blandet
Stavanger;5291;973863843;Johannes Læringssenter Flerspråklige Barn;blandet
Stavanger;3521;974611511;Jåtten skole;Hinna
Stavanger;3522;974611465;Kampen skole;Eiganes/Våland
Stavanger;3523;974611597;Kannik skole;Eiganes/Våland
Stavanger;37130;998211794;Kristen Friskole AS;blandet
Stavanger;3525;974611651;Kristianslyst skole;Hillevåg
Stavanger;3526;874611492;Kvaleberg skole;Hillevåg
Stavanger;3527;974611678;Kvernevik skole;Madla
Stavanger;3528;977506123;Lassa skole;Eiganes/Våland
Stavanger;3529;983083269;Lunde skole;Hundvåg
Stavanger;3530;974611562;Madlamark skole;Madla
Stavanger;3531;974611813;Madlavoll skole;Madla
Stavanger;3435;975275299;Mosterøy skole;Rennesøy
Stavanger;40565;913461746;Norlights montessoriskole Stavanger AS;blandet
Stavanger;3534;974611422;Nylund skole;Storhaug
Stavanger;3321;986836195;Ombo oppvekstsenter Avdeling skule;blandet
Stavanger;3436;975275272;Rennesøy skule;Rennesøy
Stavanger;3537;974611627;Revheim skole;Madla
Stavanger;3538;974611376;Roaldsøy skole;Hundvåg
Stavanger;3323;975275353;Sjernarøy oppvekstsenter Avdeling skule;blandet
Stavanger;3540;874611832;Skeie skole;Hundvåg
Stavanger;3541;974611848;Smiodden skole;Madla
Stavanger;3544;974611635;St. Svithun skole;Storhaug
Stavanger;5019;982944635;Stavanger Kristne grunnskole;blandet
