Kommune;DepartmentID;OrgNo;Skole;Bydel;GEO
Oslo;3280;974590328;Uranienborg skole;Frogner;030105
Oslo;3282;879126312;Vahl skole;Gamle Oslo;030101
Oslo;3283;974590336;Veitvet skole;Bjerke;030109
Oslo;3284;974590344;Vestli skole;Stovner;030111
Oslo;3288;974590352;Vinderen skole;Vestre Aker;030107
Oslo;3289;974590360;Voksen skole;Vestre Aker;030107
Oslo;40749;918399267;Vollebekk skole;Bjerke;030109
Oslo;3292;974590379;Vålerenga skole;Gamle Oslo;030101
Oslo;3294;974590638;Øraker skole;Ullern;030106
Oslo;3295;974590387;Østensjø skole;Østensjø;030113
Oslo;3297;974590395;Årvoll skole;Bjerke;030109
Oslo;;929177525;Voldsløkka skole;Nordre Aker;030108
Oslo;;917526427;Holmen skole;Vestre Aker;030107
Stavanger;3503;974611473;Auglend skole;Hillevåg;110306
Stavanger;3504;974611244;Austbø skole;Hundvåg;110301
Stavanger;3506;974611414;Buøy skole;Hundvåg;110301
Stavanger;3507;874611662;Byfjord skole;Tasta;110302
Stavanger;3508;974611457;Eiganes skole;Eiganes/Våland;
Stavanger;3318;975289249;Finnøy Sentralskule;Finnøy;110308
Stavanger;3319;975275345;Fogn oppvekstsenter Avdeling skule;Finnøy;110308
Stavanger;3510;974611805;Gausel skole;Hinna;110307
Stavanger;3511;874735582;Gautesete skole;Hinna;110307
Stavanger;3513;974611341;Godeset skole;Hinna;110307
Stavanger;3514;974611686;Gosen skole;Madla;110304
Stavanger;3515;974611570;Hafrsfjord skole;Madla;110304
Stavanger;3517;974611600;Hinna skole;Hinna;110307
Stavanger;3519;974611546;Hundvåg skole;Hundvåg;110301
Stavanger;3521;974611511;Jåtten skole;Hinna;110307
Stavanger;3522;974611465;Kampen skole;Eiganes/Våland;
Stavanger;3523;974611597;Kannik skole;Eiganes/Våland;
Stavanger;3525;974611651;Kristianslyst skole;Hillevåg;110306
Stavanger;3526;874611492;Kvaleberg skole;Hillevåg;110306
Stavanger;3527;974611678;Kvernevik skole;Madla;110304
Stavanger;3528;977506123;Lassa skole;Eiganes/Våland;
Stavanger;3529;983083269;Lunde skole;Hundvåg;110301
Stavanger;3530;974611562;Madlamark skole;Madla;110304
Stavanger;3531;974611813;Madlavoll skole;Madla;110304
Stavanger;3435;975275299;Mosterøy skole;Rennesøy;110309
Stavanger;3534;974611422;Nylund skole;Storhaug;110305
Stavanger;3436;975275272;Rennesøy skule;Rennesøy;110309
Stavanger;3537;974611627;Revheim skole;Madla;110304
Stavanger;3538;974611376;Roaldsøy skole;Hundvåg;110301
Stavanger;3540;874611832;Skeie skole;Hundvåg;110301
Stavanger;3541;974611848;Smiodden skole;Madla;110304
Stavanger;3544;974611635;St. Svithun skole;Storhaug;110305
Stavanger;3550;974611430;Storhaug skole;Storhaug;110305
Stavanger;3551;974611589;Sunde skole;Madla;110304
Stavanger;3552;974611538;Tasta skole;Tasta;110302
Stavanger;3553;984034547;Tastarustå skole;Tasta;110302
Stavanger;3554;974611619;Tastaveden skole;Tasta;110302
Stavanger;3555;977506077;Teinå skole;Tasta;110302
Stavanger;3557;874611522;Tjensvoll skole;Hillevåg;110306
Stavanger;3559;974611481;Ullandhaug skole;Hillevåg;110306
Stavanger;3560;974611406;Vardenes skole;Tasta;110302
Stavanger;3561;974611384;Vassøy skole;Storhaug;110305
Stavanger;3562;974611503;Vaulen skole;Hinna;110307
